Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Temperature Difference,Wear Torque Ratio,Machanical Stress,Thermal Stress
1,299.0,308.6,1648,30.8,98,0,9.600000000000023,0.98989898989899,50758.4,92271.40000000001
1,299.0,308.6,1653,31.7,100,0,9.600000000000023,0.9900990099009901,52400.1,92271.40000000001
1,299.0,308.6,1946,22.3,102,0,9.600000000000023,0.9902912621359223,43395.8,92271.40000000001
1,299.1,308.6,1555,36.6,104,0,9.5,0.9904761904761905,56913.0,92302.26000000001
1,299.0,308.6,1661,32.2,106,0,9.600000000000023,0.9906542056074766,53484.200000000004,92271.40000000001
1,299.0,308.6,1434,45.9,108,0,9.600000000000023,0.9908256880733946,65820.59999999999,92271.40000000001
1,299.0,308.6,1297,54.2,110,0,9.600000000000023,0.990990990990991,70297.40000000001,92271.40000000001
1,299.0,308.6,1466,46.4,112,0,9.600000000000023,0.9911504424778761,68022.4,92271.40000000001
2,298.9,308.6,1517,39.8,114,0,9.700000000000045,0.991304347826087,60376.6,92240.54
1,298.9,308.5,1742,34.5,117,0,9.600000000000023,0.9915254237288136,60099.0,92210.65
1,298.9,308.5,1580,39.1,119,0,9.600000000000023,0.9916666666666667,61778.0,92210.65
2,298.9,308.5,1534,42.9,121,0,9.600000000000023,0.9918032786885246,65808.59999999999,92210.65
1,298.9,308.6,1481,40.7,124,0,9.700000000000045,0.992,60276.700000000004,92240.54
1,299.0,308.6,1429,37.7,126,0,9.600000000000023,0.9921259842519685,53873.3,92271.40000000001
2,298.9,308.6,1574,33.5,128,0,9.700000000000045,0.9922480620155039,52729.0,92240.54
2,298.9,308.6,1524,40.4,131,0,9.700000000000045,0.9924242424242424,61569.6,92240.54
1,299.0,308.7,1507,37.5,134,0,9.699999999999989,0.9925925925925926,56512.5,92301.3
1,298.9,308.5,1467,44.7,136,0,9.600000000000023,0.9927007299270073,65574.90000000001,92210.65
1,298.9,308.4,1301,51.1,138,0,9.5,0.9928057553956835,66481.1,92180.75999999998
1,298.9,308.5,1429,55.1,140,0,9.600000000000023,0.9929078014184397,78737.90000000001,92210.65
2,298.9,308.5,1555,37.6,142,0,9.600000000000023,0.993006993006993,58468.0,92210.65
1,298.9,308.5,1503,40.6,145,0,9.600000000000023,0.9931506849315068,61021.8,92210.65
1,298.9,308.5,1459,43.1,147,0,9.600000000000023,0.9932432432432432,62882.9,92210.65
0,298.9,308.4,1449,42.4,149,0,9.5,0.9933333333333333,61437.6,92180.75999999998
1,298.9,308.5,1387,57.3,154,0,9.600000000000023,0.9935483870967742,79475.09999999999,92210.65
2,298.9,308.5,1456,50.0,156,0,9.600000000000023,0.9936305732484076,72800.0,92210.65
1,299.0,308.5,1604,34.7,159,0,9.5,0.99375,55658.8,92241.5
1,299.0,308.6,1734,32.4,161,0,9.600000000000023,0.9938271604938271,56181.6,92271.40000000001
1,299.0,308.6,1378,47.8,163,0,9.600000000000023,0.9939024390243902,65868.4,92271.40000000001
1,298.9,308.7,1504,41.8,165,0,9.800000000000011,0.9939759036144579,62867.2,92270.43
2,298.9,308.7,1402,49.8,167,0,9.800000000000011,0.9940476190476191,69819.59999999999,92270.43
0,298.8,308.6,1524,37.7,170,0,9.800000000000011,0.9941520467836257,57454.8,92209.68000000001
1,298.8,308.6,1593,35.5,175,0,9.800000000000011,0.9943181818181818,56551.5,92209.68000000001
2,298.9,308.7,1772,28.4,177,0,9.800000000000011,0.9943820224719101,50324.799999999996,92270.43
0,298.9,308.6,1623,31.0,180,0,9.700000000000045,0.994475138121547,50313.0,92240.54
1,298.9,308.7,1356,50.7,185,0,9.800000000000011,0.9946236559139785,68749.2,92270.43
0,298.9,308.7,1500,41.6,187,0,9.800000000000011,0.9946808510638298,62400.0,92270.43
0,299.1,308.8,1566,46.6,192,0,9.699999999999989,0.9948186528497409,72975.6,92362.08000000002
1,299.1,308.9,1445,43.4,197,0,9.799999999999955,0.9949494949494949,62713.0,92391.99
0,299.0,308.8,1382,58.5,199,0,9.800000000000011,0.995,80847.0,92331.2
2,299.0,308.8,1418,45.7,204,0,9.800000000000011,0.9951219512195122,64802.600000000006,92331.2
1,299.1,308.8,1329,53.6,207,1,9.699999999999989,0.9951923076923077,71234.40000000001,92362.08000000002
2,299.1,308.8,1491,41.0,209,0,9.699999999999989,0.9952380952380953,61131.0,92362.08000000002
2,299.2,308.9,1573,37.4,212,0,9.699999999999989,0.9953051643192489,58830.2,92422.87999999999
2,299.2,308.9,1521,42.3,215,0,9.699999999999989,0.9953703703703703,64338.299999999996,92422.87999999999
1,299.1,308.9,1467,47.2,218,0,9.799999999999955,0.9954337899543378,69242.40000000001,92391.99
2,299.1,308.9,1325,48.4,220,0,9.799999999999955,0.995475113122172,64130.0,92391.99
1,299.1,308.9,1617,32.3,223,0,9.799999999999955,0.9955357142857143,52229.1,92391.99
2,299.1,308.9,1476,42.7,225,0,9.799999999999955,0.995575221238938,63025.200000000004,92391.99
1,299.2,309.0,1515,48.9,228,1,9.800000000000011,0.9956331877729258,74083.5,92452.8
1,299.2,309.0,1408,47.2,0,0,9.800000000000011,0.0,66457.6,92452.8
1,299.2,309.1,1468,45.6,2,0,9.900000000000034,0.6666666666666666,66940.8,92482.72
1,299.2,309.1,1387,48.7,4,0,9.900000000000034,0.8,67546.90000000001,92482.72
2,299.2,309.1,1503,34.7,6,0,9.900000000000034,0.8571428571428571,52154.100000000006,92482.72
0,299.2,309.1,1410,47.1,9,0,9.900000000000034,0.9,66411.0,92482.72
1,299.0,308.9,1615,30.6,14,0,9.899999999999977,0.9333333333333333,49419.0,92361.09999999999
1,299.0,308.9,1511,35.9,16,0,9.899999999999977,0.9411764705882353,54244.9,92361.09999999999
1,299.1,309.0,1405,53.8,18,0,9.899999999999977,0.9473684210526315,75589.0,92421.90000000001
2,299.0,308.9,1526,41.1,20,0,9.899999999999977,0.9523809523809523,62718.6,92361.09999999999
1,298.9,308.8,1530,38.3,23,0,9.900000000000034,0.9583333333333334,58598.99999999999,92300.31999999999
1,299.0,308.7,1583,32.5,25,0,9.699999999999989,0.9615384615384616,51447.5,92301.3
1,298.9,308.6,2069,18.7,27,0,9.700000000000045,0.9642857142857143,38690.299999999996,92240.54
1,298.8,308.5,1490,35.0,29,0,9.699999999999989,0.9666666666666667,52150.0,92179.8
1,298.8,308.5,1736,29.0,31,0,9.699999999999989,0.96875,50344.0,92179.8
1,298.8,308.5,1395,44.4,33,0,9.699999999999989,0.9705882352941176,61938.0,92179.8
2,298.9,308.6,1425,49.6,35,0,9.700000000000045,0.9722222222222222,70680.0,92240.54
1,298.8,308.6,1631,32.4,38,0,9.800000000000011,0.9743589743589743,52844.399999999994,92209.68000000001
1,298.8,308.6,1535,41.2,40,0,9.800000000000011,0.975609756097561,63242.00000000001,92209.68000000001
1,298.8,308.6,1584,34.4,42,0,9.800000000000011,0.9767441860465116,54489.6,92209.68000000001
2,298.8,308.7,1543,38.2,44,0,9.899999999999977,0.9777777777777777,58942.600000000006,92239.56
1,298.8,308.7,1635,35.2,47,0,9.899999999999977,0.9791666666666666,57552.00000000001,92239.56
2,298.8,308.7,1446,45.5,49,0,9.899999999999977,0.98,65793.0,92239.56
2,298.8,308.6,1598,35.1,52,0,9.800000000000011,0.9811320754716981,56089.8,92209.68000000001
1,298.8,308.6,1501,35.0,55,0,9.800000000000011,0.9821428571428571,52535.0,92209.68000000001
1,298.8,308.5,1450,50.8,57,0,9.699999999999989,0.9827586206896551,73660.0,92179.8
1,298.8,308.6,1730,25.9,59,0,9.800000000000011,0.9833333333333333,44807.0,92209.68000000001
2,298.8,308.6,1571,33.7,61,0,9.800000000000011,0.9838709677419355,52942.700000000004,92209.68000000001
1,298.9,308.7,1438,51.7,64,0,9.800000000000011,0.9846153846153847,74344.6,92270.43
2,298.8,308.5,1510,38.7,66,0,9.699999999999989,0.9850746268656716,58437.00000000001,92179.8
1,298.9,308.7,1389,44.9,69,0,9.800000000000011,0.9857142857142858,62366.1,92270.43
1,298.8,308.7,1490,33.6,71,0,9.899999999999977,0.9861111111111112,50064.0,92239.56
1,298.9,308.7,1729,26.6,73,0,9.800000000000011,0.9864864864864865,45991.4,92270.43
1,299.0,308.8,1495,38.4,75,0,9.800000000000011,0.9868421052631579,57408.0,92331.2
1,298.9,308.8,1281,53.9,77,0,9.900000000000034,0.9871794871794872,69045.9,92300.31999999999
0,298.9,308.7,1353,48.1,79,0,9.800000000000011,0.9875,65079.3,92270.43
1,299.1,308.8,1429,50.1,84,0,9.699999999999989,0.9882352941176471,71592.90000000001,92362.08000000002
1,299.1,308.8,1413,42.1,86,0,9.699999999999989,0.9885057471264368,59487.3,92362.08000000002
1,299.1,308.8,1502,38.3,88,0,9.699999999999989,0.9887640449438202,57526.6,92362.08000000002
0,299.1,308.8,1553,32.6,90,0,9.699999999999989,0.989010989010989,50627.8,92362.08000000002
0,299.2,308.9,1712,26.4,95,0,9.699999999999989,0.9895833333333334,45196.799999999996,92422.87999999999
1,299.3,309.0,1786,23.5,100,0,9.699999999999989,0.9900990099009901,41971.0,92483.7
1,299.2,309.0,1951,21.4,102,0,9.800000000000011,0.9902912621359223,41751.399999999994,92452.8
2,299.2,309.0,1541,36.3,104,0,9.800000000000011,0.9904761904761905,55938.299999999996,92452.8
1,299.2,309.1,1605,34.3,107,0,9.900000000000034,0.9907407407407407,55051.49999999999,92482.72
1,299.2,309.1,1578,38.1,109,0,9.900000000000034,0.990909090909091,60121.8,92482.72
2,299.3,309.2,1440,37.5,111,0,9.899999999999977,0.9910714285714286,54000.0,92543.56
1,299.4,309.2,1489,42.3,114,0,9.800000000000011,0.991304347826087,62984.7,92574.48
1,299.4,309.3,1366,48.4,116,0,9.900000000000034,0.9914529914529915,66114.4,92604.42
1,299.3,309.2,1541,37.2,118,0,9.899999999999977,0.9915966386554622,57325.200000000004,92543.56
0,299.3,309.1,1552,40.7,120,0,9.800000000000011,0.9917355371900827,63166.4,92513.63
1,299.3,309.1,1473,40.3,125,0,9.800000000000011,0.9920634920634921,59361.899999999994,92513.63
1,299.3,309.1,1531,37.9,127,0,9.800000000000011,0.9921875,58024.9,92513.63
1,299.3,309.2,1511,37.2,129,0,9.899999999999977,0.9923076923076923,56209.200000000004,92543.56
2,299.3,309.1,1449,47.9,131,0,9.800000000000011,0.9924242424242424,69407.09999999999,92513.63
2,299.4,309.1,1440,50.0,134,0,9.700000000000045,0.9925925925925926,72000.0,92544.54
2,299.2,309.0,1881,23.9,137,0,9.800000000000011,0.9927536231884058,44955.899999999994,92452.8
1,299.3,309.0,1447,50.4,140,0,9.699999999999989,0.9929078014184397,72928.8,92483.7
2,299.4,309.1,1326,62.0,142,0,9.700000000000045,0.993006993006993,82212.0,92544.54
1,299.4,309.2,1607,31.7,145,0,9.800000000000011,0.9931506849315068,50941.9,92574.48
1,299.3,309.1,1551,39.1,147,0,9.800000000000011,0.9932432432432432,60644.100000000006,92513.63
1,299.3,309.1,1496,37.2,149,0,9.800000000000011,0.9933333333333333,55651.200000000004,92513.63
1,299.3,309.1,1493,38.0,151,0,9.800000000000011,0.993421052631579,56734.0,92513.63
1,299.4,309.1,1304,50.5,153,0,9.700000000000045,0.9935064935064936,65852.0,92544.54
2,299.3,309.0,1420,41.6,155,0,9.699999999999989,0.9935897435897436,59072.0,92483.7
1,299.4,309.1,1766,24.6,158,0,9.700000000000045,0.9937106918238994,43443.600000000006,92544.54
1,299.6,309.2,1450,43.1,160,0,9.599999999999966,0.9937888198757764,62495.0,92636.32
0,299.5,309.2,1872,22.6,162,0,9.699999999999989,0.9938650306748467,42307.200000000004,92605.4
1,299.6,309.2,1713,26.5,167,0,9.599999999999966,0.9940476190476191,45394.5,92636.32
2,299.5,309.2,1497,40.9,169,0,9.699999999999989,0.9941176470588236,61227.299999999996,92605.4
2,299.4,309.1,1352,44.7,172,0,9.700000000000045,0.9942196531791907,60434.4,92544.54
1,299.5,309.2,1499,41.5,175,0,9.699999999999989,0.9943181818181818,62208.5,92605.4
1,299.5,309.3,1972,19.3,177,0,9.800000000000011,0.9943820224719101,38059.6,92635.35
1,299.5,309.3,1422,49.2,179,0,9.800000000000011,0.9944444444444445,69962.40000000001,92635.35
1,299.5,309.3,1523,41.5,181,0,9.800000000000011,0.9945054945054945,63204.5,92635.35
1,299.5,309.4,1563,41.5,183,0,9.899999999999977,0.9945652173913043,64864.5,92665.29999999999
1,299.4,309.3,1391,46.6,185,0,9.900000000000034,0.9946236559139785,64820.6,92604.42
1,299.3,309.1,1795,24.7,187,0,9.800000000000011,0.9946808510638298,44336.5,92513.63
1,299.3,309.1,1293,53.7,189,0,9.800000000000011,0.9947368421052631,69434.1,92513.63
1,299.2,309.1,1345,60.7,191,1,9.900000000000034,0.9947916666666666,81641.5,92482.72
1,299.2,309.0,1615,33.7,193,0,9.800000000000011,0.9948453608247423,54425.50000000001,92452.8
1,299.2,308.9,1342,50.8,195,0,9.699999999999989,0.9948979591836735,68173.59999999999,92422.87999999999
1,299.1,308.8,1502,46.7,197,0,9.699999999999989,0.9949494949494949,70143.40000000001,92362.08000000002
2,299.0,308.7,1620,35.4,199,0,9.699999999999989,0.995,57348.0,92301.3
1,299.0,308.7,1537,42.8,202,0,9.699999999999989,0.9950738916256158,65783.59999999999,92301.3
1,299.0,308.7,2248,16.8,204,0,9.699999999999989,0.9951219512195122,37766.4,92301.3
1,299.0,308.7,1706,28.6,206,0,9.699999999999989,0.9951690821256038,48791.600000000006,92301.3
1,299.0,308.7,2250,16.6,208,0,9.699999999999989,0.9952153110047847,37350.0,92301.3
1,299.0,308.7,1396,48.6,0,0,9.699999999999989,0.0,67845.6,92301.3
1,298.9,308.6,1522,46.4,2,0,9.700000000000045,0.6666666666666666,70620.8,92240.54
1,298.9,308.6,1539,45.4,4,0,9.700000000000045,0.8,69870.59999999999,92240.54
0,298.9,308.5,1415,54.0,6,0,9.600000000000023,0.8571428571428571,76410.0,92210.65
1,298.8,308.5,1446,37.0,11,0,9.699999999999989,0.9166666666666666,53502.0,92179.8
2,298.8,308.6,1486,41.1,13,0,9.800000000000011,0.9285714285714286,61074.6,92209.68000000001
1,299.0,308.7,1426,38.6,16,0,9.699999999999989,0.9411764705882353,55043.6,92301.3
1,299.0,308.7,1449,38.9,18,0,9.699999999999989,0.9473684210526315,56366.1,92301.3
1,299.1,308.8,1320,67.5,20,1,9.699999999999989,0.9523809523809523,89100.0,92362.08000000002
2,299.2,308.9,1447,39.6,22,0,9.699999999999989,0.9565217391304348,57301.200000000004,92422.87999999999
1,299.3,309.0,1422,47.3,25,0,9.699999999999989,0.9615384615384616,67260.59999999999,92483.7
1,299.3,309.1,1399,52.1,27,0,9.800000000000011,0.9642857142857143,72887.90000000001,92513.63
1,299.4,309.2,1427,41.5,29,0,9.800000000000011,0.9666666666666667,59220.5,92574.48
2,299.3,309.2,1334,46.3,31,0,9.899999999999977,0.96875,61764.2,92543.56
2,299.3,309.1,1385,45.6,34,0,9.800000000000011,0.9714285714285714,63156.0,92513.63
1,299.4,309.2,1552,37.4,37,0,9.800000000000011,0.9736842105263158,58044.799999999996,92574.48
0,299.4,309.3,1534,37.5,39,0,9.900000000000034,0.975,57525.0,92604.42
1,299.4,309.3,1448,48.6,44,0,9.900000000000034,0.9777777777777777,70372.8,92604.42
1,299.5,309.3,1409,44.7,46,0,9.800000000000011,0.9787234042553191,62982.3,92635.35
1,299.4,309.2,1621,34.5,48,0,9.800000000000011,0.9795918367346939,55924.5,92574.48
0,299.4,309.1,1547,40.9,50,0,9.700000000000045,0.9803921568627451,63272.299999999996,92544.54
1,299.4,309.1,1957,22.1,55,0,9.700000000000045,0.9821428571428571,43249.700000000004,92544.54
1,299.4,309.1,2421,14.2,57,0,9.700000000000045,0.9827586206896551,34378.2,92544.54
2,299.3,309.1,1571,38.3,59,0,9.800000000000011,0.9833333333333333,60169.299999999996,92513.63
1,299.3,309.1,1634,36.8,62,0,9.800000000000011,0.9841269841269841,60131.2,92513.63
1,299.3,309.0,1516,38.7,64,0,9.699999999999989,0.9846153846153847,58669.200000000004,92483.7
1,299.4,309.1,1207,66.5,66,0,9.700000000000045,0.9850746268656716,80265.5,92544.54
1,299.4,309.1,1670,35.9,68,0,9.700000000000045,0.9855072463768116,59953.0,92544.54
2,299.4,309.1,1461,48.6,70,0,9.700000000000045,0.9859154929577465,71004.6,92544.54
1,299.4,309.2,1569,40.8,73,0,9.800000000000011,0.9864864864864865,64015.2,92574.48
1,299.4,309.2,1556,35.7,75,0,9.800000000000011,0.9868421052631579,55549.200000000004,92574.48
2,299.5,309.3,1506,41.5,77,0,9.800000000000011,0.9871794871794872,62499.0,92635.35
2,299.6,309.4,1642,30.3,80,0,9.799999999999955,0.9876543209876543,49752.6,92696.24
2,299.6,309.4,1283,62.1,83,0,9.799999999999955,0.9880952380952381,79674.3,92696.24
0,299.7,309.5,1375,46.8,86,0,9.800000000000011,0.9885057471264368,64349.99999999999,92757.15
1,299.7,309.4,1399,39.9,91,0,9.699999999999989,0.9891304347826086,55820.1,92727.18
1,299.7,309.4,1650,29.8,93,0,9.699999999999989,0.9893617021276596,49170.0,92727.18
2,299.8,309.6,1346,53.2,95,0,9.800000000000011,0.9895833333333334,71607.2,92818.08000000002
0,299.9,309.6,1410,51.2,98,0,9.700000000000045,0.98989898989899,72192.0,92849.04
1,300.0,309.7,1586,37.8,103,0,9.699999999999989,0.9903846153846154,59950.799999999996,92910.0
1,300.0,309.8,1372,39.6,105,0,9.800000000000011,0.9905660377358491,54331.200000000004,92940.0
0,300.0,309.7,1529,42.4,107,0,9.699999999999989,0.9907407407407407,64829.6,92910.0
2,300.0,309.7,1652,28.6,112,0,9.699999999999989,0.9911504424778761,47247.200000000004,92910.0
1,300.1,309.8,1532,39.8,115,0,9.699999999999989,0.9913793103448276,60973.6,92970.98000000001
1,300.0,309.7,1554,32.0,117,0,9.699999999999989,0.9915254237288136,49728.0,92910.0
0,299.9,309.6,1462,51.0,119,0,9.700000000000045,0.9916666666666667,74562.0,92849.04
1,299.9,309.6,1254,61.3,124,0,9.700000000000045,0.992,76870.2,92849.04
1,299.9,309.6,1294,49.7,126,0,9.700000000000045,0.9921259842519685,64311.8,92849.04
1,299.8,309.5,1739,27.5,128,0,9.699999999999989,0.9922480620155039,47822.5,92788.1
2,299.8,309.4,1412,47.8,130,0,9.599999999999966,0.9923664122137404,67493.59999999999,92758.12
2,299.9,309.5,1372,56.2,133,0,9.600000000000023,0.9925373134328358,77106.40000000001,92819.04999999999
0,299.8,309.5,1420,46.7,136,0,9.699999999999989,0.9927007299270073,66314.0,92788.1
1,299.8,309.5,1542,40.3,141,0,9.699999999999989,0.9929577464788732,62142.6,92788.1
2,299.8,309.4,1401,48.1,143,0,9.599999999999966,0.9930555555555556,67388.1,92758.12
1,299.8,309.4,1510,42.5,146,0,9.599999999999966,0.9931972789115646,64175.0,92758.12
0,299.9,309.5,1547,38.5,148,0,9.600000000000023,0.9932885906040269,59559.5,92819.04999999999
2,299.8,309.5,1453,43.2,153,0,9.699999999999989,0.9935064935064936,62769.600000000006,92788.1
1,299.8,309.4,1408,45.6,156,0,9.599999999999966,0.9936305732484076,64204.8,92758.12
1,299.8,309.4,1436,51.6,158,0,9.599999999999966,0.9937106918238994,74097.6,92758.12
2,299.9,309.5,1582,38.2,160,0,9.600000000000023,0.9937888198757764,60432.4,92819.04999999999
1,299.9,309.6,1280,59.3,163,0,9.700000000000045,0.9939024390243902,75904.0,92849.04
1,299.9,309.5,2008,20.4,165,0,9.600000000000023,0.9939759036144579,40963.2,92819.04999999999
1,299.9,309.5,1772,23.5,167,0,9.600000000000023,0.9940476190476191,41642.0,92819.04999999999
1,299.9,309.5,1779,26.1,169,0,9.600000000000023,0.9941176470588236,46431.9,92819.04999999999
1,299.9,309.5,1567,35.5,171,0,9.600000000000023,0.9941860465116279,55628.5,92819.04999999999
2,299.8,309.4,1751,27.0,173,0,9.599999999999966,0.9942528735632183,47277.0,92758.12
1,299.9,309.5,1349,51.3,176,0,9.600000000000023,0.9943502824858758,69203.7,92819.04999999999
2,300.0,309.5,1425,40.8,178,0,9.5,0.994413407821229,58139.99999999999,92850.0
1,300.0,309.4,1395,44.5,181,0,9.399999999999977,0.9945054945054945,62077.5,92820.0
0,299.8,309.3,1595,32.1,183,0,9.5,0.9945652173913043,51199.5,92728.14000000001
1,299.8,309.3,1291,56.4,188,0,9.5,0.9947089947089947,72812.4,92728.14000000001
2,299.9,309.4,1509,42.8,190,0,9.5,0.9947643979057592,64585.2,92789.05999999998
2,299.9,309.4,1483,38.1,193,0,9.5,0.9948453608247423,56502.3,92789.05999999998
1,299.9,309.3,1620,31.1,196,0,9.400000000000034,0.9949238578680203,50382.0,92759.06999999999
2,299.9,309.4,1487,42.2,198,0,9.5,0.9949748743718593,62751.4,92789.05999999998
1,299.8,309.4,2256,15.9,201,0,9.599999999999966,0.995049504950495,35870.4,92758.12
0,299.7,309.2,1691,27.7,203,0,9.5,0.9950980392156863,46840.7,92667.23999999999
2,299.8,309.3,1663,35.2,208,0,9.5,0.9952153110047847,58537.600000000006,92728.14000000001
2,299.8,309.3,1640,31.1,211,0,9.5,0.9952830188679245,51004.0,92728.14000000001
0,299.7,309.3,1494,37.8,214,0,9.600000000000023,0.9953488372093023,56473.2,92697.21
1,299.8,309.4,1467,46.2,219,0,9.599999999999966,0.9954545454545455,67775.40000000001,92758.12
2,299.7,309.3,1399,41.9,221,1,9.600000000000023,0.9954954954954955,58618.1,92697.21
1,299.7,309.3,1445,42.6,0,0,9.600000000000023,0.0,61557.0,92697.21
1,299.8,309.4,1480,40.9,2,0,9.599999999999966,0.6666666666666666,60532.0,92758.12
1,299.7,309.3,1546,37.2,4,0,9.600000000000023,0.8,57511.200000000004,92697.21
1,299.7,309.3,1574,35.8,6,0,9.600000000000023,0.8571428571428571,56349.2,92697.21
1,299.7,309.3,1592,34.2,8,0,9.600000000000023,0.8888888888888888,54446.4,92697.21
1,299.8,309.5,1495,39.6,10,0,9.699999999999989,0.9090909090909091,59202.0,92788.1
1,299.8,309.6,1447,43.1,12,0,9.800000000000011,0.9230769230769231,62365.700000000004,92818.08000000002
1,299.8,309.5,1476,44.4,14,0,9.699999999999989,0.9333333333333333,65534.4,92788.1
1,299.8,309.5,1641,27.1,16,0,9.699999999999989,0.9411764705882353,44471.100000000006,92788.1
1,299.8,309.5,1545,32.2,18,0,9.699999999999989,0.9473684210526315,49749.00000000001,92788.1
2,299.9,309.6,1364,44.4,20,0,9.700000000000045,0.9523809523809523,60561.6,92849.04
1,299.8,309.5,1590,28.5,23,0,9.699999999999989,0.9583333333333334,45315.0,92788.1
1,299.8,309.4,1460,37.4,25,0,9.599999999999966,0.9615384615384616,54604.0,92758.12
1,299.8,309.4,1609,32.5,27,0,9.599999999999966,0.9642857142857143,52292.5,92758.12
1,299.8,309.4,1633,27.5,29,0,9.599999999999966,0.9666666666666667,44907.5,92758.12
1,299.9,309.4,1348,52.8,31,0,9.5,0.96875,71174.4,92789.05999999998
1,299.9,309.4,1322,53.9,33,0,9.5,0.9705882352941176,71255.8,92789.05999999998
1,300.0,309.5,1641,30.1,35,0,9.5,0.9722222222222222,49394.100000000006,92850.0
1,300.0,309.5,1728,26.0,37,0,9.5,0.9736842105263158,44928.0,92850.0
1,300.0,309.6,1431,47.7,39,0,9.600000000000023,0.975,68258.7,92880.0
1,300.1,309.7,1641,30.4,41,0,9.599999999999966,0.9761904761904762,49886.399999999994,92940.97
2,300.1,309.6,1622,36.1,43,0,9.5,0.9772727272727273,58554.200000000004,92910.96000000002
2,300.1,309.6,1625,38.0,46,0,9.5,0.9787234042553191,61750.0,92910.96000000002
1,300.0,309.5,1869,22.7,49,0,9.5,0.98,42426.299999999996,92850.0
1,300.0,309.6,1452,46.0,51,0,9.600000000000023,0.9807692307692307,66792.0,92880.0
1,300.0,309.6,1618,28.7,53,0,9.600000000000023,0.9814814814814815,46436.6,92880.0
1,300.0,309.4,2010,20.0,55,0,9.399999999999977,0.9821428571428571,40200.0,92820.0
1,299.9,309.4,1363,60.9,57,0,9.5,0.9827586206896551,83006.7,92789.05999999998
1,299.9,309.3,1473,40.4,59,0,9.400000000000034,0.9833333333333333,59509.2,92759.06999999999
1,299.9,309.2,1333,50.8,61,0,9.300000000000011,0.9838709677419355,67716.4,92729.07999999999
1,299.8,309.2,1760,25.9,63,0,9.399999999999977,0.984375,45584.0,92698.16
2,299.8,309.2,1372,58.2,65,0,9.399999999999977,0.9848484848484849,79850.40000000001,92698.16
2,299.7,309.2,1608,34.4,68,0,9.5,0.9855072463768116,55315.2,92667.23999999999
1,299.7,309.2,1326,64.8,71,0,9.5,0.9861111111111112,85924.8,92667.23999999999
2,299.6,309.1,1560,37.1,73,0,9.5,0.9864864864864865,57876.0,92606.36000000002
2,299.6,309.0,1539,36.1,76,0,9.399999999999977,0.987012987012987,55557.9,92576.40000000001
1,299.6,309.1,2266,15.3,79,0,9.5,0.9875,34669.8,92606.36000000002
1,299.6,309.1,1641,35.8,81,0,9.5,0.9878048780487805,58747.799999999996,92606.36000000002
1,299.6,309.1,1574,39.2,83,0,9.5,0.9880952380952381,61700.8,92606.36000000002
1,299.6,309.1,1407,50.6,85,0,9.5,0.9883720930232558,71194.2,92606.36000000002
0,299.7,309.2,1302,55.5,87,0,9.5,0.9886363636363636,72261.0,92667.23999999999
2,299.6,309.2,1651,30.8,92,0,9.599999999999966,0.989247311827957,50850.8,92636.32
2,299.6,309.1,1366,55.2,95,0,9.5,0.9895833333333334,75403.2,92606.36000000002
2,299.5,309.0,1701,28.6,98,0,9.5,0.98989898989899,48648.600000000006,92545.5
1,299.5,309.0,1498,44.6,101,0,9.5,0.9901960784313726,66810.8,92545.5
2,299.5,309.1,1422,45.3,103,0,9.600000000000023,0.9903846153846154,64416.6,92575.45000000001
1,299.5,309.1,1357,47.3,106,0,9.600000000000023,0.9906542056074766,64186.1,92575.45000000001
1,299.5,309.2,1690,29.2,108,0,9.699999999999989,0.9908256880733946,49348.0,92605.4
1,299.6,309.2,1559,39.1,110,0,9.599999999999966,0.990990990990991,60956.9,92636.32
2,299.6,309.3,1553,32.4,112,0,9.699999999999989,0.9911504424778761,50317.2,92666.28000000001
1,299.6,309.3,1558,34.8,115,0,9.699999999999989,0.9913793103448276,54218.399999999994,92666.28000000001
1,299.7,309.4,1362,51.9,117,0,9.699999999999989,0.9915254237288136,70687.8,92727.18
2,299.8,309.3,1470,42.7,119,0,9.5,0.9916666666666667,62769.00000000001,92728.14000000001
1,299.8,309.4,1555,34.8,122,0,9.599999999999966,0.991869918699187,54113.99999999999,92758.12
2,299.8,309.4,1423,42.9,124,0,9.599999999999966,0.992,61046.7,92758.12
1,299.7,309.3,1434,38.5,127,0,9.600000000000023,0.9921875,55209.0,92697.21
1,299.7,309.3,1779,25.5,129,0,9.600000000000023,0.9923076923076923,45364.5,92697.21
1,299.7,309.3,1417,54.6,131,0,9.600000000000023,0.9924242424242424,77368.2,92697.21
1,299.6,309.2,1425,45.9,133,0,9.599999999999966,0.9925373134328358,65407.5,92636.32
2,299.7,309.2,1597,32.9,135,0,9.5,0.9926470588235294,52541.299999999996,92667.23999999999
1,299.7,309.2,1346,57.4,138,0,9.5,0.9928057553956835,77260.4,92667.23999999999
1,299.7,309.2,1422,40.4,140,0,9.5,0.9929078014184397,57448.799999999996,92667.23999999999
0,299.7,309.2,1572,32.8,142,0,9.5,0.993006993006993,51561.6,92667.23999999999
1,299.7,309.2,1412,45.4,147,0,9.5,0.9932432432432432,64104.799999999996,92667.23999999999
2,299.7,309.1,1576,36.4,149,0,9.400000000000034,0.9933333333333333,57366.399999999994,92637.27
